,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,total_audio_dur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys
0,0.5,0.1,2,0.2333,0.4,0.7833,0,2.8166,0.8,0.4,0.9,5,lapse_rate,2.0,True,0.482,0,False,right
1,0.5,0.1,2,0.2167,0.2833,0.4333,1,2.2666,0.65,0.3333,0.8333,5,2D1U,2.0,True,0.375,0,False,right
2,0.5,0.1,1,0.3667,0.3333,0.4333,2,1.8,-0.65,-0.3333,0.1667,5,3U1D,2.0,True,0.867,0,False,right
3,0.5,0.1,2,0.3667,0.4,0.8167,3,2.9167,0.65,0.3333,0.8333,5,3D1U,2.0,True,0.325,0,False,right
4,0.5,0.1,1,0.4,0.25,0.6667,4,2.65,0.65,0.3333,0.8333,5,2D1U,1.0,True,0.482,0,False,left
5,0.5,0.1,2,0.4,0.2167,0.4167,5,1.6334,-0.8,-0.4,0.1,5,lapse_rate,1.0,True,0.585,0,False,left
6,0.5,0.1,1,0.4,0.4167,0.7667,6,2.2501,-0.65,-0.3333,0.1667,5,2U1D,2.0,True,0.451,0,False,right
7,0.5,0.1,1,0.4,0.35,0.6667,7,2.0167,-0.8,-0.4,0.1,5,lapse_rate,2.0,True,0.341,0,False,right
8,0.5,0.1,2,0.2,0.2,0.6167,8,2.35,0.65,0.3333,0.8333,5,3D1U,2.0,True,0.384,0,False,right
9,0.5,0.1,1,0.25,0.4167,0.4333,9,1.7667,-0.65,-0.3333,0.1667,5,3U1D,1.0,False,0.675,0,False,left
10,0.5,0.1,1,0.3833,0.3333,0.6,10,2.5833,0.55,0.2667,0.7667,5,2D1U,1.0,True,0.474,0,False,left
11,0.5,0.1,1,0.3833,0.4167,0.5,11,1.9667,-0.65,-0.3333,0.1667,5,2U1D,2.0,True,0.458,0,False,right
12,0.5,0.1,2,0.2,0.25,0.7167,12,2.5,0.65,0.3333,0.8333,5,3D1U,2.0,True,0.424,0,False,right
